name,description,imagelink,price,rating,merchant
Charger LMAX LX-09 Fast Charging + Kabel Micro 5W 2A Resmi,"Keunggulan:
1. Output 5V/2A sama seperti kecepatan charge original
2. Small dan Portable, mudah dibawa bepergian
3. Safe charging, menyesuaikan output saat pengisian daya
4. 5 Smart Protection
5. Dilengkapi dengan kabel data micro 1 meter
6. PC Fire-proof shell, anti-fall dan tahan akan suhu tinggi
Mendukung pengisian daya Apple, Xiaomi, Samsung, OPPO, VIVO, dsb

Spesifikasi:
*Input110-240V
*Output 5V/2A

Kelengkapan
1x Charger
1x Cable micro 1meter

Barang yang kami jual dijamin ORIGINAL dan BERKUALITAS
Selalu Tanya Stock kami, jadi jangan ragu untuk memesan.
Jangan lupa memillih variana atau memberi catatan pilihan warna dan size, jika tidak akan kami kirim sesuai stok yang ada, membeli berarti setuju.

Untuk pengiriman via JNE akan kami kirim 1 hari setelah pemesanan.
Happy Shopping!! ^.^",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/7/23/0950b276-0963-4c90-84cc-4016aff9fd69.jpg.webp?ect=4g,0,4.6,Metoocel
tripod 2 meter hp dan kamera plus ball head holder hp,"tinggi tripod 2meter bahan besi holder hp bahan plastik ball head bisa diputar hingga 360°

*BARANG SEBELUM DIKIRIM KAMI CEK KUALITAS BARANG DAN FISIK BARANG
*KETIKA MEMBUKA PACKING DIWAJIBKAN VIDEO UNBOXING",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/7/17/83d9e18d-5c29-4e2b-83e7-5ae75bd57a85.jpg.webp?ect=4g,59800,4.7,Gudang AL
Kartu Upgrade 4G Telkomsel - Makin Untung Hingga 30GB (1 Bulan),"Kartu 4G Telkomsel adalah kartu yang disediakan oleh Telkomsel untuk memberikan kemudahan kepada pelanggan yang ingin mengganti kartu SIM non 4G ke kartu 4G.

Dengan mengganti kartu ke 4G, pelanggan berkesempatan mendapatkan bonus kuota hingga 30GB (berlaku untuk 1 bulan)

SYARAT & KETENTUAN KARTU UPGRADE 4G TELKOMSEL
Berlaku bagi pelanggan prabayar Telkomsel

Setelah sukses migrasi ke kartu 4G, pelanggan akan medapatkan bonus kuota 4G dengan ketentuan sebagai berikut.
1.Tambahan kuota 30GB selama 1 bulan di jaringan 4G untuk kartu dengan masa aktif lebih dari 6 bulan serta penggunaan lebih dari Rp100.000.
2.Tambahan kuota 15GB selama 1 bulan di jaringan 4G untuk kartu dengan masa aktif lebih dari 3 bulan serta penggunaan kurang dari Rp100.000.

Pelanggan akan dikenakan biaya Rp10 pada saat proses migrasi kartu berhasil.
Bonus Kuota 4G tidak bisa didapatkan jika kartu dalam masa tenggang. Untuk mendapatkan bonus kuota 4G, pelanggan diminta untuk mengisi pulsa terlebih dulu
Bonus Kuota 4G dapat dilihat di *888# dengan nama Flash 4G atau melalui aplikasi MyTelkomsel
Jika pelanggan memiliki kuota 4G lainnya, maka bonus kuota 4G akan terakumulasi dan masa aktif kuota mengikuti masa aktif yang terlama
Bonus Kuota 4G hanya dapat digunakan pada perangkat 4G yang terhubung ke jaringan 4G Telkomsel melalui kartu 4G
Khusus pelanggan kartuHalo dan pelanggan Mobile Banking dapat melakukan tukar kartu 4G di GraPARI atau My GraPARI terdekat.
Syarat ketentuan dapat berubah sewaktu waktu tanpa ada pemberitahuan sebelumnya.

CARA UPGRADE
Langkah 1 dari kari kartu Lama :
1.Hubungi *888*46#, pilih “1. Ya, Terima PIN 4G”
2.PIN 4G akan dikirimkan melalui SMS

Langkah 2 dari kartu upgrade 4G :
1.Hubungi *888*46#",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/7/19/c0737927-63ad-4b79-b11d-7acdbbc8f727.jpg.webp?ect=4g,5000,4.6,Telkomsel
Robot RT-K7 Adaptor Charger 5V/1A With Cable Micro USB,"100% Original Robot

Spesifikasi :
- Brand : ROBOT
- Tipe : RT-K7
- Output : 110-240V
- Input : 5V/1A

Fitur :
1. Output 5V/1A sama seperti kecepatan charger original , cocok di pasangkan dengan handphone anda
2. Mudah di bawa bepergian
3. Mendukung pengisiann daya smartphone pada umumnya
4. Secara otomatis mendeteksi perangkat dan memberikan output yang sesuai.
5. Charging load status , smart automatic detection & protection mengisi daya lebih aman
6. Dilengkai dengan kabel micro panjang 1 Meter
7. Anti-Fall dan tahan akan suhu tinggi , effektif melindungi bagian internal charger
8. Dapat digunakan di seluruh dunia
9. Tegangan Output AC110-240V",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2020/11/25/925ac08b-41a6-4daa-a952-2d4b57f59361.jpg.webp?ect=4g,20000,4.9,bestdeal official
ACMIC PDC100e Power Delivery (PD) 100cm Cable USB Type C to USB Type C,"GARANSI 18 BULAN RUSAK GANTI BARU
UNLIMITED CLAIM
TANPA PERLU SIMPAN BOX

Selama bisa klik BELI, berarti Stok Ready yah :)

Untuk pembelian Grosir Klik :
https://www.tokopedia.com/acmicgrosir

INFO PENGIRIMAN :

Catatan:
Mohon videokan proses unboxing saat membuka paket demi mencegah hal-hal yang tidak diinginkan. Terima kasih :)
▁▁▁▁▁▁
Info Produk:

ACMIC PDC100e
Power Delivery (PD) Cable USB Type C to USB Type C
Panjang : 100cm

UP TO 3A | 60 Watt Power Delivery

High Speed Data Transmision
up to 480Mbps rapid data transfer

Premium High Grade Synthetic Rubber Cable

Flexible Head Wrapped in high quality silicone.
6 times more durable than standard cable

Smart Over Current Protection
Effectively Protect Battery from Over Current",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/8/2/2ece9411-c4d5-40e6-841e-0df8ba1dfbf6.jpg.webp?ect=4g,45000,4.9,ACMIC Official Store
ORICO Foldable Phone Holder Metal - LST-S1,"1. Product Model : ORICO LST-S1
2. Color : Silver
3. Material : SGCC+silicone
4. Surface : Paint
5. Dimensions : 103.7*55*33mm
6. Weight : 160g
7. Applications : Phone
8. Adjustable height/angle",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/7/13/c214b180-1901-4682-a92d-ee1e91fed0fb.jpg.webp?ect=4g,46550,4.9,ORICO INDONESIA
USAMS T22 ADAPTER CHARGER 18W QC3.0 FAST CHARGER,"USAMS T22 ADAPTER CHARGER 18W QC3.0 FAST CHARGER

SPECIFICATION
Model: US-CC083
Color: White
Material: ABS
Size: 88x40x25mm (Including Plug)
Weight: Around 40g
Input: 100V-240V 50/60HZ 0.5A
Output: 5V-3A 9V-2A 12V-1.5A
Power: 18W (Max)
Compatibility: For mobile phone/tablet


Fitur
1. chip QC3.0, cepat untuk mengisi daya.
2. Cerdas saat ini, aman untuk diisi ulang.
3. Bahan ABS, tahan lama digunakan.
4. Tegangan broadband, universal untuk digunakan.

GARANSI TOKO 12 BULAN
PRODUK USAMS ORIGINAL 100%",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/7/14/e8b90fbd-5676-4586-af0e-880e40b5fcd6.jpg.webp?ect=4g,34500,4.9,USAMS ID Official
Remax Lango Power Bank 20000mAh RPP-166 - Hitam,"20000mAh Large capacity, supplies a super fast charge at 2.1A of total output to your devices so you can spend less time charging and more time talking, texting, listening, reading or gaming
Simultaneous Charging: Two USB ports allow you to charge two devices at the same time

Safeguard your device from any overheating, overvoltage and short circuiting
Light indicator for showing remaining capacity power

Mini and compact, convenient to carry, ideal for traveling usage

Size: 139.5 x 67.2 x 27.9mm",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2020/11/26/fa7b9615-3b99-41d4-8a4b-b3fabfae82dd.jpg.webp?ect=4g,149000,4.9,Remax Indonesia Official
TERA T Multi Way Plug Adaptor - 4 Ways Socket - White,"TERA T Multi Way Plug Adaptor
T Multi Way Plug Adaptor Tera diproduksi sesuai standar produksi berkualitas tinggi yang dapat membantu semua pemakai smartphone atau gadget untuk melakukan aktivitas sehari-hari.

Terbuat dari bahan kuningan untuk terminal listriknya dan dengan plastik padat yang melindungi terminalnya membuat T Multi Plug Adaptor Tera mempunyai performance yang maksimal dan aman untuk dipergunakan.

Terdiri dari 4 cabang colokan membuat kebutuhan untuk sumber penggunana listrik lebih maksimal baik di rumah maupun di kantor.


Package
1 pcs Tera T Multi Way Plug Adaptor

TERA Customer Service & Warranty
Kami dengan senang hati akan melayani Anda untuk melakukan keluhan purna jual semua produk kami, yang mana semua produk kami memiliki masa garansi 12 bulan.

________________________________________________________
Specification
Model : T Multi Way Plug Adaptor (4 ways)
Port : EU
Material : Internal Brass Terminal,Fire Retardant Plastic
Certification : CE/FCC/ROHS GoGreen Life
Size : 60*50*80 mm
Capacity : 10A 250V
Weight : 75 gram


Powered by TERA International",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/2/5/73701bb6-8699-41d3-970b-4f40148251aa.jpg.webp?ect=4g,29000,4.8,TERA Official Store
USAMS PB56 Power Bank Lanyard 10000mAh DUAL USB 2.1A - Hitam,"USAMS PB56 Power Bank Lanyard 10000mAh DUAL USB

SPESIFIKASI
Merek: USAMS
Model: US-CD150
Warna: Putih, Hitam & Hijau
Bahan: ABS + PC
Kapasitas Baterai: 10000mAh
Nilai Energi : 37Wh
Ukuran: 143 X 69.5 X 15.3 mm
Berat: sekitar 225g
Input Mikro / Tipe-C: 5V - 2A
Output USB1 / USB2 Output : 5V - 2A
Total Output Port Ganda: 2A (Maks)
Baterai: Baterai Li- polimer
Kompatibilitas: Untuk Ponsel Apple / Android
Aksesoris: Kabel pengisian mikro x1

FITUR
1. Output Ganda, Isi daya 2 perangkat secara bersamaan.
2. Input ganda, kompatibel dengan kabel mikro / tipe-C.
3. 10000mAh kapasitas besar, berikan daya yang cukup.
4. Daya tampilan LED, dengan lanyard, mudah dibawa.

*NOTE
Pengiriman Powerbank keluar pulau jawa harap menggunakan Ekspedisi sicepat
Terimakasih, Happy Shopping!

*WAJIB MENYERTAKAN VIDEO UNBOXING PAKET DAN HUBUNGI CUSTOMER SERVICE KAMI UNTUK MENGKLAIM GARANSI ATAU PRODUK YANG TIDAK LENGKAP *

GARANSI PRODUK 12 BULAN
PRODUK USAMS ORIGINAL 100%",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/2/16/79ba3ae3-9703-4f65-9d3a-1e549b01f5f8.jpg.webp?ect=4g,79000,4.9,USAMS ID Official
